LMPR02010034	3-decaprenyl-4,5-dihydroxybenzoic acid	834.652610
LMPR01070338	Fucoxanthinol 3-stearate 3'-palmitoleate	1118.887755
LMPR0106240006	Myrrhanol B	474.370910
LMPR01070974	(6S,3'S,6'S)-3'-Hydroxy-epsilon-caroten-3-one	566.412380
CA00826	β-Citraurinene	418.636 g/mol
CA00102	Rhodopin glucoside	717.004 g/mol
LMPR0103050009	(6S)-dehydrovomifoliol	222.125595
LMPR01070196	3'-Hydroxy-epsilon,epsilon-caroten-3-one	566.412380
CA00166	R.g.Keto-I	582.874 g/mol
LMPR0103410006	guaiazulene	198.140850
LMPR0102010024	2R3R-epoxyneral	168.115030
CA00329	Meso-Zeaxanthin	568.848 g/mol
LMPR0103020001	Ngaione (-)	250.156895
LMPR01060033	NA	474.370910
CA00823	Azafrinaldehyde	410.574 g/mol
LMPR0104010041	Chinensen A	432.323960
CA00770	Isorenieratene	528.784 g/mol
LMPR0103120001	beta-Caryophyllene	204.187800
LMPR0103330006	(+)-8-hydroxycalamenene	218.167065
CA00769	7,8-Didehydroisorenieratene	526.768 g/mol
CA00434	Cryptoxanthin 5',8'-epoxide	568.848 g/mol
CA01119	3,9-Dihydroxy-4-megastigmene	212.322 g/mol
CA01084	Dinochrome B	668.92 g/mol
LMPR0103670001	(-)-Obtusadiene	296.077576
CA01240	Violaxanthin di-laurate	965.44 g/mol
CA00187	12,12'-Diapocarotene-dial	164.196 g/mol
CA01013	Pseudoionone	192.29 g/mol
CA00734	Clathriaxanthin	576.826 g/mol
CA00625	Micromonal	584.848 g/mol
CA00590	Anhydrolutein II	550.832 g/mol
LMPR0103450002	Cyperene	204.187800
CA00135	1-Methoxy-1,2-dihydrophytoene	576.954 g/mol
LMPR0104230002	Brianthein X	498.165663
LMFA11000125	3,7,11,15-Tetramethyl-2Z,4E,10E,14-hexadecatetraene	274.266051
LMPR0102060017	(-)-cis-(R)-allethrin	302.188195
LMPR0104040013	NA	360.230060
CA00457	Vaucheriaxanthin 3-acetate 19'-decanoate	813.128 g/mol
LMPR0103700003	(+)-6(13)-Zizene	204.187800
LMPR0103090031	Elephantopinolide N	390.167855
CA00081	Spheroidene	568.89 g/mol
CA01052	(2R,3S)-2,3-Dihydroxy-β-carotene-4-one	582.832 g/mol
LMPR0104080011	9beta-pimara-7,15-dien-19-oic acid	302.224580
LMPR01070330	Fucoxanthinol 3,3'-(9E-hexadecenoate)	1088.840805
LMPR01090056	N-Retinylidene-N-retinylethanolamine	592.451839
LMPR0103410002	Chamazulene	184.125200
CA01007	Methyl glucosyl-3,4-dehydro-apo-8'-lycopenoate	624.786 g/mol
LMPR0102090028	(R)-(+)-alpha-Terpineol	154.135765
LMPR0104190003	Kagimminol A	320.235145
CA01137	C9-aldehyde	150.17 g/mol
LMPR01070344	Fucoxanthinol 3-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoate) 3'-palmitoleate	1162.856455
LMPR01070575	Deinoxanthin	582.407295
LMPR03080011	dolichyl-4-D-xylosyl phosphate	572.347808
CA01247	Aesculaxanthol	460.672 g/mol
LMPR0103610004	Alcyopterosin B	263.152144
CA01246	Aesculaxanthin	458.656 g/mol
CA01165	Oxoedulan	208.29 g/mol
LMPR0106150061	Pfaffiaglycoside A	618.376785
LMPR0102120016	Fenchone	152.120115
LMPR01070374	Mactraxanthin 3-myristate 3'-palmitate	1084.867020
LMPR02020053	gamma-CEHC Glc	426.188985
CA00721	Tethyanine	530.8 g/mol
LMPR0104250002	(-)-Isoamijiol	304.240230
CA01008	Methyl hydroxy-3,4-dehydro-apo-8'-lycopenoate	462.646 g/mol
LMPR0106150026	18alpha-Glycyrrhetinic acid	470.339610
CA00018	Diapolycopenedioic acid glucosyl ester	622.728 g/mol
CA00642	α-Cryptoeutreptiellanone	582.832 g/mol
LMPR01070644	3,4-Dihydroxy-beta-carotene	568.428030
LMPR0103090020	Elephantopinolide D	374.136555
CA00506	2-Hydroxyadonixanthin	598.832 g/mol
LMPR01070318	Fucoxanthinol 3-arachidonate	902.642440
CA00885	Retro-C18-dione	270.356 g/mol
CA00236	15,7',8',11',12',15'-Hexahydro-beta,psi-caroten-2-ol	558.896 g/mol
LMPR0104040012	Clerodermic acid	332.198760
CA01168	Dihydroacrinidiolide	180.238 g/mol
LMPR0106240008	(8R)-3-oxo-8-hydroxypolypoda13E,17E,21-triene	442.381080
LMPR0104140003	(+)-Beyerol	320.235145
CA00330	(3S,3'S)-Zeaxanthin	568.848 g/mol
CA01146	Acycloretinal	284.424 g/mol
LMPR01070385	Mactraxanthin 3-arachidonate 3'-palmitoleate	1158.882670
LMPR0104150006	(+)-Serradiol	304.240230
CA00718	Thiothece-484	622.852 g/mol
LMPR01040116	15-hydroxycembra-1,3,7,11-tetraene	288.245315
LMPR0104160002	aphidicolan-16beta-ol	290.260965
LMPR0103410005	(-)-guaia-6,9-diene	204.187800
LMPR0102010020	(Z)-beta-ocimene	136.125200
LMPR01070307	Fucoxanthinol 3-myristate	826.611140
LMPR01070555	gamma-Carotene-1',2'-epoxide	552.433115
LMPR01070310	Fucoxanthinol 3-elaidate	880.658090
CA00429	Dinoxanthin	642.884 g/mol
CA00860	Hydroxysintaxanthin 5,6-epoxide	462.646 g/mol
CA01151	5-Deoxystrigol	330.366 g/mol
CA01174	Theaspirane	194.306 g/mol
CA00942	Sarcinaxanthin	705.076 g/mol
LMPR0106240007	(8R)-3beta,8-dihydroxypolypoda13E,17E,21-triene	444.396730
LMPR01040140	Rebaudioside F	936.420230
LMPR0104050021	Dracocephalumoid A	344.162375
LMPR0105020001	Manoalide	416.256275
LMPR02020001	alpha-tocopherol	430.381080
LMPR01070978	3',4-dihydroxy-epsilon-carotene-3-one	582.407295
LMPR0103750002	(-)-8beta-Presilphiperfolanol	222.198365
LMPR0103890004	1-deoxypentalenic acid	234.161980
LMPR0104230004	Solenolide B	498.165663
CA00638	Fritschiellaxanthin	582.832 g/mol
CA00341	Deepoxyneoxanthin	584.848 g/mol
CA01183	2,2,6-trimethylcyclohexane-1,4-dione	154.202 g/mol
LMPR0106090003	Meliasanine A	454.344695
LMPR01070392	Mactraxanthin 3-linolenate 3'-palmitoleate	1132.867020
LMPR0102090018	Carvone oxide	166.099380
LMPR0103390002	Sundiversifolide	238.156895
LMPR01090035	11-cis retro-gamma-retinal	284.214015
CA00432	Pittosporumxanthin C	1029.522 g/mol
CA00686	Tunaxanthin C	568.848 g/mol
LMPR0103370007	Proversilin D	439.235874
LMPR0102110002	Hinokitiol	164.083730
CA00043	Lycopene	536.848 g/mol
LMPR0103160006	Herbertenolide	230.130680
LMPR0102090057	neoisomenthol	156.151415
LMPR0103200001	Emmotin A	278.151810
LMPR0106180007	ursolic acid	456.360345
LMPR0106040011	Monodesacetyl cephalosporin P1	532.340005
LMPR0106150005	spinosic acid A	472.355260
LMPR01070337	Fucoxanthinol 3-elaidate 3'-palmitoleate	1116.872105
CA00307	Dehydro-γ,ψ-carotene	534.832 g/mol
LMPR02020058	didesmethyl tocotrienol	368.271530
CA01000	Apo-15-zeaxanthinal	300.424 g/mol
CA00980	Diatoxanthin 3,6-epoxide	582.832 g/mol
LMPR01030050	Macrophyllic acid D	250.156895
LMPR0104390003	Taxa-4(20),11(12)-dien-5alpha-ol	288.245315
LMPR01070847	19'-Hexanoyloxyfucoxanthin	772.491420
LMPR01070056	19'-Hexanoyloxyfucoxanthin	772.491420
LMPR01080059	Neodidymellioic acid A	752.616620
LMPR0104080002	Momilactone A	314.188195
CA00603	(9Z)-Lutein	568.848 g/mol
LMFA06000156	Gyrinidal	234.125595
CA00688	Tunaxanthin J	568.848 g/mol
CA00635	3'-Dehydrolutein	566.832 g/mol
LMPR0104240009	Clavurol D	304.240230
CA00577	Hydratopyrrhoxanthinol	588.754 g/mol
CA00095	1'-Hydroxy-3,4,1',2',11',12'-hexahydrospheroidene	590.938 g/mol
CA00970	β-Cryptoxanthin laurate	735.144 g/mol
LMPR0106150055	Arenaroside F	1120.566560
LMPR0102120011	(+)-Comphene	136.125200
LMPR0102120023	Myrtenal	150.104465
CA00497	(3S,3'S,4'R)-4-Keto-4'-hydroxydiatoxanthin	596.816 g/mol
LMPR04000009	35-aminobacteriohopane-30,31,32,33,34-pentol	577.470624
LMPR0106010009	C30 Highly branched isoprenoid	422.485150
CA01040	5,6-Epoxyretinoic acid	316.424 g/mol
CA01178	2,7-Epoxy-megastigma-4,8-diene	194.306 g/mol
LMPR0104050024	Dracocephalumoid D	364.188590
LMPR01070273	Lactucaxanthin	568.428030
LMPR0102010002	Neryl diphosphate	314.068431
CA00592	Zeinoxanthin	552.848 g/mol
LMPR0104140001	(+)-15-Beyerene	272.250400
CA00268	Myxobactone	728.972 g/mol
LMPR0106040017	7,8-dehydropseudofusidic acid	500.313790
CA00160	3,4-Dehydrolycopen-16-al	548.816 g/mol
CA00161	1-Methoxy-3,4-didehydrolycopen-20-al	580.858 g/mol
LMPR0103090036	1,10-epoxydeltoidin A	350.172940
LMPR01070025	Anhydroeschscholtzxanthin	530.391250
LMPR0104110001	(+)-12-Isocopalene-15,16-dial	302.224580
LMPR01070630	Hexadehydro-beta-caroten-3-ol	546.386165
CA01149	Vitamin A2	284.424 g/mol
LMPR0104050020	Officinoterpenoside A2	672.299325
LMPR0104030019	Haterumaimide A	459.157930
LMPR0105050003	Drophiobiolin B	398.245710
CA01154	Sorgolactone	316.34 g/mol
LMPR0106160005	O-octadecanoylisomultiflorenol	692.647130
LMPR01070378	Mactraxanthin 3-linolenate 3'-palmitate	1134.882670
CA00003	Neo-4,4'-diaponeurosporene B	402.636 g/mol
CA01243	Astaxanthin-5,6-peroxide	612.816 g/mol
LMPR0102010027	S-ipsdienol	152.120115
CA00238	1',2'-Dihydro-1'-hydroxytorulene rhamnoside	698.988 g/mol
CA00074	Demethylspheroidene	554.864 g/mol
LMPR04000032	2R-methyl-hop-22(29)-ene	424.406900
CA00827	Apo-10'-fucoxanthinal	424.558 g/mol
CA00583	Triphasiaxanthin	584.848 g/mol
LMPR01070149	Dihydrospheroidene	570.480065
CA00594	(4'R)-4-Hydroxy-α-carotene	552.848 g/mol
LMPR0106180028	Officinoterpenoside B	812.455825
CA00792	Thiothece-460	462.646 g/mol
LMPR01070302	(3S,5R,8R,3'R)-mutatoxanthin	584.422945
LMPR0102090003	(+)-Neomenthol	156.151415
LMPR0102120012	(+)-alpha-Pinene	136.125200
LMPR01070321	Fucoxanthinol 3-(13Z,16Z-docosadienoate)	934.705040
LMPR0102120020	(1R,2S,4R)-(+)-Bornyl acetate	196.146330
LMPR0102070009	Gentiopicrin	356.110735
LMPR0104110004	(+)-makassaric acid	410.282095
CA00762	Cryptocapsin-5,8-epoxide	584.848 g/mol
CA00126	Didemethylspirilloxanthin glucoside ester	801.076 g/mol
LMPR01070899	2-Hydroxy-alpha-carotene	552.433115
LMPR0104060002	Lanugone A	314.188195
LMPR0106150034	Medicagenic acid	502.329440
LMPR01090065	9-cis-13,14-dihydroretinoic acid	302.224580
LMPR0103010034	Crannenol A	320.198760
LMPR0103050014	7'-hydroxyabscisic acid	280.131075
LMPR0104150010	Sebiferumnin K	330.183110
LMPR0104480003	(-)-8,16-Dihydroxy-19-serrulatanoic acid	334.214410
LMPR0102070057	Iridomyrmecin	168.115030
LMPR04000005	35-aminobacteriohopane-32,33,34-triol	545.480794
LMPR0102090061	diosphenol	168.115030
LMPR0103370006	Proversilin E	453.215139
LMPR0106080019	Panaxadiol	460.391645
LMPR0106130001	Lupeol	426.386165
LMPR0103090010	(1E,4Z)-germacrene B	204.187800
CA00991	(9Z)-Zeaxanthin dirhamnoside	861.128 g/mol
LMPR0102070018	Lamioside	420.163165
LMPR0104120002	podocarpic acid	274.156895
LMPR0103610006	Alcyopterosin D	252.128093
CA00391	Thermobiszeaxanthin-13-13	1285.772 g/mol
LMPR0102090005	(-)-trans-Carveol	152.120115
LMPR0106050019	Ganoderol B	440.365430
CA00407	Antheraxanthin	584.848 g/mol
CA00783	Trikentriorhodin	580.816 g/mol
LMPR0103450004	Sugeonyl acetate	276.172545
LMPR0103240001	Argutenol	222.198365
LMPR0104120001	ent-cassa-12,15-diene	272.250400
CA01089	(3R,3'R,5S)-3,3',5,19'-tetrahydroxy-7',8'-didehydro-γ,ε-carotene-8-one	615.84 g/mol
LMPR0106230004	Onocerin	456.396730
LMPR0103250002	capsidiol	236.177630
LMPR0104170018	Gibberellin A24	346.178025
LMPR01070101	Adonixanthin 3'-beta-D-glucoside	744.460120
LMPR01070379	Mactraxanthin 3-arachidonate 3'-palmitate	1160.898320
LMPR0106150020	3-Epioleanolic acid	456.360345
LMPR0104030032	Haterumaimide L	381.170687
LMPR0105050001	Ophiobolin A	400.261360
LMPR0102070033	7-Dehydrologanin tetraacetate	556.179210
LMPR0103190002	1,2-Dihydrosantonin	248.141245
LMPR0102090050	1alpha,3beta,4beta-p-menthane-3,8-diol	172.146330
LMPR04000038	6alpha-acetoxy-hopane-16beta,22-diol	502.402210
LMPR0104210001	Magdalenic acid	302.224580
LMPR0105020005	Somaliensene B	340.313000
LMPR0104030001	ent-Copalyl diphosphate	450.193631
CA00157	Rhodobacterioxanthin	610.884 g/mol
LMPR0104500002	(+)-18-Hydroxy-7,16-sacculatadiene-11,12-dial	318.219495
LMPR0102010014	Citronellyl formate	184.146330
LMPR0103480009	(1R,6S)-gamma-himachalene	204.187800
LMPR0103490001	(+)-alpha-Longipinene	204.187800
CA00483	Phoeniconone	578.8 g/mol
LMPR01070395	Mactraxanthin 3-arachidonate 3'-(9E-hexadecenoate)	1116.835720
LMPR0106010042	Glucosyl-4,4'-diaponeurosporenoate	594.355655
CA01101	(3S,4R,2'S)-4-Hydroxymyxol	600.848 g/mol
CA01216	3',4'-Dehydro-Rhodopln glucoside ester	785.076 g/mol
CA00756	Bastaxanthol C	612.816 g/mol
CA00556	Halocynthiaxanthin 3'-acetate	640.868 g/mol
CA00056	1,2-Dihydro-ζ-carotene	542.896 g/mol
LMPR0103800001	Campherene-2,13-diol	238.193280
LMPR0104080010	isopimaric acid	302.224580
CA01236	Kuesteriaxanthin	602.864 g/mol
CA00070	3,4-Dehydrorhodopin	552.848 g/mol
LMPR0103880001	3-Gymnomitrene	204.187800
LMPR01040138	Rebaudioside N	1274.541530
CA00112	Lycopanerols F	1791.088 g/mol
CA00712	Hydroxychlorobactene glucoside hexadecanoate	951.372 g/mol
LMPR0104030007	stemod-13(17)-ene	272.250400
LMPR0103560001	7(14)-Isodaucen-10-one	220.182715
LMPR0104240013	Clavufuranolide B	288.245315
LMPR0102010025	NA	152.120115
CA00494	4-Keto-4'-hydroxyalloxanthin	594.8 g/mol
LMPR0103690004	(+)-4-Isocedren-15-al	218.167065
LMPR0104340001	Lagaspholone A	316.203845
LMPR0103630001	Furodysin	216.151415
CA00280	4,4'-Diketo-γ-carotene	564.816 g/mol
LMPR0106180033	NA	442.381080
CA01144	Apo-8'-lycopenol	418.636 g/mol
LMPR0103400001	Curcumenone	234.161980
LMPR02010033	2-decaprenyl-6-methoxy-1,4-benzoquinone	818.657695
LMPR02020087	R-Chinensen G	438.277010
CA00489	Adonixanthin	582.832 g/mol
CA00959	Myxol 2'-methyl hexoside	761.014 g/mol
LMPR0104010038	Homophytanic acid	326.318480
LMPR0103190004	beta-Santonin	246.125595
LMPR0104340002	Lagaspholone B	332.198760
LMPR01010001	Dimethylallyl pyrophosphate	246.005831
LMPR0104040010	NA	318.219495
LMPR0103570001	(-)-Tamariscol	222.198365
LMPR0102090054	(4R,7S)-7-isopropyl-4-methyloxepan-2-one	170.130680
LMPR0103180004	Deoxynivalenol	296.125990
LMPR03080001	Dolichyl-19 phosphate	1393.181948
LMPR0104550001	Chinensen B	410.282095
LMPR0104030023	Haterumaimide E	417.147365
LMPR0102070015	Valtratum	422.194070
LMPR0104550002	Chinensen C	426.277010
CA00205	Saproxanthin	568.848 g/mol
LMPR0104050004	Neoabietic acid	302.224580
CA00977	(9'Z)-5',6'-Epoxy-3'-hydroxy-3-methoxy-4,5-didehydro-5',6'-dihydro-4,6-cyclo-5,6-seco-beta,beta-caroten-5-one	612.858 g/mol
LMPR0106050016	Ganoderic acid T	612.366220
CA00071	Lycoxanthin	552.848 g/mol
LMPR01070184	Myxol glycoside/ (Myxoxanthophyll)	746.475770
LMPR0102060006	(+)-trans-(S)-allethrin	302.188195
CA00620	Loroxanthin dodecenoate	765.128 g/mol
LMPR01060032	NA	488.386560
LMPR04000030	Bishomohopanoic acid	470.412380
LMPR0103700004	(+)-Khusimol	220.182715
LMPR0102070024	Iridotrial glucoside	344.147120
CA00156	Methoxylycopenal	582.874 g/mol
CA00212	Myxol 2'-chinovoside	730.988 g/mol
CA01230	Methyl 9'Z-apo-6'-lycopenoate	472.682 g/mol
CA00559	Astaxanthin monoester	666.904 g/mol
CA01150	Vitamin A3	302.44 g/mol
CA00789	Apo-8'-lycopenal	416.62 g/mol
LMPR01080067	Glisoprenin C	752.616620
CA00340	(3S,4S,3'R)-3,4,3'-Trihydroxy-β-carotene	584.848 g/mol
LMPR02020089	S-Chinensen F	466.308310
CA00272	1'-Hydroxy-4-keto-γ-carotene glucoside mycolic acid ester	955.32 g/mol
LMPR0106040003	16-deacetoxy-7beta-hydroxy-fusidic acid	474.334525
CA00402	β-Carotene diepoxide	568.848 g/mol
LMPR03070023	Nor-Dolichol-[13-22]	346.323565
CA00104	Methoxyhydroxylycopene glucoside	749.046 g/mol
CA00261	1',2'-Dihydro-1'-hydroxy-4-keto-gamma-carotene	568.848 g/mol
LMPR0106180011	beta-Boswellic acid	456.360345
LMPR0102090060	(-)-menthyl beta-D-glucoside	318.204240
LMPR0104150007	NA	380.256275
LMPR0103010003	Nerolidyl diphosphate	382.131031
LMPR0103420001	Parthenin	262.120510
LMPR0106150031	Gymnemic acid I	806.445260
LMPR0104080001	(+)-Sandaracopimaradiene	272.250400
LMPR0103370005	Proversilin C	439.235874
CA00140	1,2-Dihydroxy-3,4-didehydrolycopene	568.848 g/mol
CA00616	Anhydromicromonol	568.848 g/mol
CA00155	Rhodopinal	568.848 g/mol
LMPR0103010019	22:2(5Z,9Z)(13Me,17Me,21Me)	378.349780
LMPR01070105	Nostoxanthin sulfate	680.374677
LMPR0102120005	(-)-endo-Fenchol	154.135765
LMPR0104170007	Gibberellin A53	348.193675
LMPR0103370001	(-)-Drimenol	222.198365
CA00610	Micromonol	586.864 g/mol
LMPR0103500012	4,5-(methanoxyethano)isolongifol-4-ene	260.214015
LMPR0106150018	3,21-dioxoolean-18-en-28-oic acid	468.323960
CA00636	Anhydroamarouciaxanthin B	578.8 g/mol
CA00362	Zeaxanthin dirhamnoside	861.128 g/mol
LMPR0102090046	beta-Terpinyl acetate	196.146330
LMPR0105010010	C25:3 Highly branched isoprenoid D	346.359950
CA00198	Rubixanthin	552.848 g/mol
LMPR0103010028	Canangalia I	256.131075
CA00510	2-Hydroxyastaxanthin	612.816 g/mol
CA00066	(7Z,9Z,9'Z)-Neurosporene	538.864 g/mol
CA01208	Piprixanthin	580.816 g/mol
CA00935	Sarcinene	673.076 g/mol
CA00938	Decaprenoxanthin diglucoside	1029.356 g/mol
LMPR0106180027	NA	828.450740
CA00664	Siphonaxanthin decenoate	753.076 g/mol
LMPR0104010029	24:1(5Z)(11Me,15Me,19Me,23Me)	422.412380
LMPR0105010004	C25:4 Highly branched isoprenoid A	344.344300
LMPR01070497	Lycopanerol D	1199.210925
LMPR01010008	Isopentenyl pyrophosphate	246.005831
LMPR0104230005	Solenolide D	556.171143
CA00124	Anhydrorhodovibrin	566.874 g/mol
LMPR01070145	Bacteriorubixanthinal	596.422945
LMPR0104050009	levopimaradienal	286.229665
LMPR0103610005	Alcyopterosin G	279.147059
CA01085	Diadinochrome A	582.832 g/mol
CA00417	Cucurbitaxanthin B	600.848 g/mol
LMPR01070929	2-Keto-alpha-carotene	550.417465
CA00780	7,8-Didehydrorenieratene	526.768 g/mol
CA00281	1',2'-Dihydro-4,2'-diketotorulene	564.816 g/mol
LMPR0103540020	Austrobuxusin D	360.120905
LMPR04000023	32,35-anhydrobacteriohopan-11-ene-tetrol	526.438595
CA00690	Tunaxanthin G	568.848 g/mol
LMPR01030040	Viridiflorol	222.198365
LMPR0104040011	NA	316.203845
CA00685	Tunaxanthin E	568.848 g/mol
CA00526	Astaxanthin diglucoside	921.096 g/mol
CA00501	meso-Astaxanthin	596.816 g/mol
LMPR02020079	alpha-carboxymethylbutylhydroxychroman	320.198760
CA01076	β-Damascone	192.29 g/mol
LMPR0104040001	Junceic acid	330.219495
LMPR0104050007	abieta-8(14),12-diene	272.250400
LMPR0103140002	(+)-delta-Cuprenen-4alpha-ol	220.182715
LMPR02020084	alpha-carboxyethylhydroxychroman glutamine	406.210388
LMPR0104450002	(-)-Dilophol	290.260965
CA01091	(9Z)-10'-Apo-β-carotenal	376.558 g/mol
LMPR0103160011	Herbertene-1,2-diol	234.161980
LMPR0103010012	(2-trans,6-trans)-farnesal	220.182715
CA00966	7,8-Didehydro-beta-cryptoxanthin	550.832 g/mol
LMPR0104170016	Gibberellin A37	364.188590
LMPR0103430001	alpha-Aromadendrene	204.187800
CA00290	8'-Hydroxy-7',8'-dihydrocitranaxanthin	474.698 g/mol
LMPR0106190001	17beta,21beta-epoxy-16alpha-ethoxyhopan-3beta-ol	486.407295
LMPR0102090014	p-Cymene	134.109550
LMPR0103050001	(S)-(+)-Abscisic acid	264.136160
LMPR0102010026	R-ipsdienol	152.120115
CA00829	Azafrin	426.574 g/mol
LMPR01070376	Mactraxanthin 3-stearidonate 3'-palmitate	1132.867020
LMPR0103140001	Cuparene	202.172150
LMPR0102070027	8-Epiiridodial glucoside tetraacetate	498.210115
LMPR02030045	Omega-carboxymenaquinone-4	474.277010
LMPR0103060010	(R,Z)-alpha-bisabolene	204.187800
LMPR0102120038	(-)-alpha-thujene	136.125200
LMPR0103650001	(-)-Solavetivone	218.167065
LMPR0104540005	ent-7alpha-hydroxykaur-16-en-19-oic acid	318.219495
LMPR0104050018	Lophachinin B	362.209325
LMPR0103810001	9-Hydroxy-helminthosporol	252.172545
LMPR0102070040	Ixoside	388.100565
LMPR0102090008	(-)-Perillyl alcohol	152.120115
LMPR0104480001	Erogorgiaene	270.234750
CA00057	Phytofluene	542.896 g/mol
CA00176	Methoxyspheroidenone	614.916 g/mol
LMPR03030010	alpha-D-galactosyl undecaprenyl diphosphate	1088.684656
LMPR0104220002	Presphaerol	290.260965
CA01058	(2'S)-Deoxymyxol 2'-alpha-L-fucoside	714.988 g/mol
CA01109	Dihydro-β-ionol	196.322 g/mol
LMPR0102090049	1alpha,3alpha,4beta-p-menthane-3,8-diol	172.146330
LMPR0106150023	Arjunolic acid	488.350175
LMPR01090027	DACP analog of retinoic acid	314.188195
CA00864	α-Ionone	192.29 g/mol
CA00904	Crocetin gentiobiosyl neapolitanosyl ester	1139.092 g/mol
CA00775	Isorenieratene-3,3'-diol	560.784 g/mol
LMPR0103010029	Canangalia C	328.188590
LMPR0104150005	(-)-16alpha,17-Dihydroxy-atisan-3-one	320.235145
CA00262	2,3-Dihydroxy-4-keto-γ-carotene	582.832 g/mol
CA00996	Lycopenal	550.832 g/mol
CA00197	all-trans-Celaxanthin	550.832 g/mol
LMPR0106180012	Carissic acid	456.360345
LMPR0103480004	1,3-Himachaladiene	204.187800
LMPR0103590004	Armillanal A	398.209325
LMPR0102070006	Aucubin	346.126385
CA01059	Abscisic alchol	250.326 g/mol
LMPR0104040008	NA	304.203845
LMPR04000034	2R-methyl-bacteriohopanetetrol	558.501195
LMPR0106140006	Lup-20(29)-en-3beta-(3,6R-dihydroxybehenate)	780.699560
LMPR0106200005	(-)-Simiarenol	426.386165
LMPR0103160005	Herbertenelactol	232.146330
LMPR0103500007	5-(1-hydroxybutan-2-yl)isolongifol-5-ene	276.245315
LMPR0106150024	Asprellic acid C	764.428820
LMPR0102090032	(1R,2S,4R)-Neo-dihydrocarveol	154.135765
CA00653	19-Methoxy siphonaxanthin	614.874 g/mol
LMPR0102010012	(-)-Citronellol	156.151415
LMPR0103760001	(+)-Arnicenone	218.167065
LMPR0102090002	(-)-Limonene	136.125200
CA00838	Paracentrone	462.646 g/mol
LMPR0102090038	(1S,2S,4S)-Dihydrocarveol	154.135765
LMPR01070188	Oscillol diglycoside/ Oacillol bisglycoside/ (Oscillaxanthin)	924.523510
LMPR0104330001	Phorbol	364.188590
CA00420	Cucurbitachrome A	600.848 g/mol
CA00967	Pyrrhoxanthinol 5,8-furanoxide	570.738 g/mol
LMPR0103430002	beta-Aromadendrene	204.187800
CA01056	(2R,5R,6R)-2,6-cyclolycopene-1,5-diol	570.864 g/mol
CA01242	Astaxanthin 5,8-epoxide	612.816 g/mol
LMPR0106020003	C30 Monocyclic highly branched isoprenoid	420.469500
CA00741	Mytiloxanthin	598.832 g/mol
LMPR0103190017	selina-4(14),11-dien-7-ol	236.177630
LMPR0105010003	C25 6,7-Epoxy highly branched isoprenoid	366.386165
LMPR01070350	Fucoxanthinol 3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoate) 3'-palmitate	1166.887755
LMPR02030027	2-demethylmenaquinone-8	702.537580
CA01113	(3R,6R,7E)-3-Hydroxy-4,7-megastigmadien-9-one	226.306 g/mol
LMPR0102090013	(+)-Limonene	136.125200
LMPR0103880003	(+)-delta-selinene	204.187800
CA00275	1'-Hydroxy-4-keto-γ-carotene glucoside ester	801.076 g/mol
LMPR0102060012	(+)-cis-allethrin	302.188195
CA00833	β-Citraurinol	434.636 g/mol
LMPR0106150067	Escin IIa	1100.540345
LMPR0106200004	(-)-5-Adianene	410.391250
LMPR0104030006	tuberculosinyl diphosphate	450.193631
LMPR01090015	all-trans-retinyl oleate	550.474980
CA00041	Methyl (9Z)-6'-oxo-6,5'-diapocaroten-6-oate	392.516 g/mol
CA00515	Pompadourin	624.868 g/mol
CA00477	(2S)-2-Hydroxy-β-echinenone	566.832 g/mol
CA01194	Dihydrobisanhydrobacterioruberin	707.092 g/mol
CA00437	(8S)-Mutatoxanthin	584.848 g/mol
CA00094	1'-Hydroxy-3,4,1',2'-tetrahydrospheroidene	588.922 g/mol
LMPR0106240004	Myrrhanone A	458.375995
LMPR0104240002	(-)-2,7-Dolabelladiene-6beta,10alpha,18-triol	322.250795
LMPR02030044	Omega-hydroxymenaquinone-4	460.297745
LMPR01090067	13,14-dihydroretinal	286.229665
LMPR0102090019	1,8-Cineol	154.135765
LMPR0103300001	Cacalol	228.115030
LMPR0104240019	Clavirolide C	318.219495
LMPR0105060003	Hyrtial	358.287180
LMPR01070326	Fucoxanthinol 3-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoate) 3'-(9E-hexadecenoate)	1162.856455
CA00345	(4S,4'S)-4,4'-Dihydroxydiatoxanthin	598.832 g/mol
LMPR0104010019	Phytane	282.328650
LMPR0106180019	Carissin	648.402605
LMPR0106180013	Maprounic acid	456.360345
LMPR0104070001	(+)-Totarol	286.229665
LMPR0103750001	Presilphiperfol-7(8)-ene	204.187800
LMPR0102120050	(+)-alpha-thujone	152.120115
CA01133	C14 aldehyde	216.268 g/mol
LMPR0104030016	Haterumaimide P	367.191422
CA00678	Anhydrolutein I	550.832 g/mol
CA00415	Neochrome	600.848 g/mol
LMPR0106150017	16alpha-hydroxygypsogenic acidid	502.329440
LMPR0103540002	Flakinin A	280.131075
LMPR01030048	Macrophyllic acid C	250.156895
LMPR0102070005	Deoxyloganin	374.157685
LMPR01080061	Neodidymellioic acid C	768.611535
LMPR0104240004	Clavurol A	288.245315
LMPR0104100002	(+)-Luricularic acid	302.224580
LMPR0104170026	Gibberellin A34-catabolite	346.141640
LMPR0104050022	Dracocephalumoid B	342.146725
